project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date
james,PR-2897,master,4,13001,1767781754,SUCCESS,182f33b9d5bf96ad0ced19c9a8d8f1a162dfc999,31086.912,43227,0,303,2026-01-07
james,PR-2904,master,2,10999,1767862865,SUCCESS,6fbd57fa3fc68ecdcc5c99384c0bbf1c56417188,27065.883,43181,0,303,2026-01-08
james,PR-2905,master,5,11137,1767865208,SUCCESS,d12849ec9cb796b530a63aa7e2680d5d0753cdd4,27593.412,43133,0,303,2026-01-08
james,PR-2906,master,3,6731,1767866426,SUCCESS,fab1d46298a215c88b2a89566a0f2011668b6bba,28975.074,43232,0,303,2026-01-08
james,PR-2907,master,2,1534,1767889461,SUCCESS,ad027fa5c8e560fdb11df9099d5499cd3dc78428,28646.346,43227,0,303,2026-01-08
james,PR-2908,master,1,1037,1767891899,SUCCESS,3b6aa15395537a0e549e526ea7d22dd86d5e8179,28239.53,43225,0,303,2026-01-08
james,PR-2773,master,29,11270,1768205215,SUCCESS,8ab414cdbb8e223064ecd38696b183be312ceb97,29623.795,43271,0,305,2026-01-12
james,PR-2903,master,7,7386,1768274160,SUCCESS,69e12e6c0bb9841c4c0893ea1474bdad75905b42,28049.531,43009,0,355,2026-01-12
james,PR-2909,master,2,1347,1768357702,SUCCESS,58cc5be3fa8eb6635d388a1e554862f6b9d8fd2f,27738.434,43009,0,355,2026-01-13
james,PR-2910,master,1,19978,1768361689,SUCCESS,c13a7ef628f779e1038618e75c55303642d175a0,29949.592,43245,0,303,2026-01-13
james,PR-2911,3.9.x,1,4143,1768376622,SUCCESS,e277831904b3cfabc8fcebd1092b98be8ff0a6ed,24711.602,43292,0,300,2026-01-14
james,PR-2912,master,1,2655,1768385296,SUCCESS,096f742e1aadef2697d6ec427222c67018f8f1d9,27865.014,43009,0,355,2026-01-14
james,PR-2878,master,3,11559,1768459988,SUCCESS,efa2486589d8105a34972da74b7f9cd38ee98c23,18775.57,43235,0,303,2026-01-15
james,PR-2894,master,3,1446,1768482780,SUCCESS,d4de2ca8bdb91cde52433028da52399473428ce3,29913.35,43245,0,303,2026-01-15
james,PR-2914,master,1,2586,1768486846,SUCCESS,d0cfdfe2decb04667c5ff5d02a0846c59a1597ef,29988.342,43362,0,303,2026-01-15
james,PR-2913,master,2,6251,1768491331,SUCCESS,0ec942d052c84fbd4d52513a29521ea96aaa787d,28489.002,43246,0,303,2026-01-15
james,PR-2902,master,9,6151,1768557428,SUCCESS,1cc7a87fe2c461993cc44466ca4c2b7b96b18eef,21309.268,43251,0,306,2026-01-16
james,PR-2917,master,2,12618,1768880837,SUCCESS,10b9767f0d3e538aff08cb5703b1422ecb90a06e,26924.088,43391,0,305,2026-01-19
james,PR-2918,master,2,6817,1768995139,SUCCESS,89abb52eb516fd318e7f0fcf3c258a2a8e1e6b09,25936.238,43390,0,305,2026-01-21
james,PR-2915,master,6,7834,1769478724,SUCCESS,bf256dbab10b327cd8ac99a469223fd8ac809263,24905.4,43393,0,305,2026-01-26
james,PR-2920,master,1,17333,1769481756,SUCCESS,6050bc1b3aa62d8995b9989eee63a502e308f2ff,25317.232,43534,0,305,2026-01-26
james,PR-2921,master,1,1313,1769492403,SUCCESS,d8d4ecdfa1c93b7946ecee9861597660c6ef4539,27043.127,43391,0,305,2026-01-26
james,PR-2922,master,1,17781,1769544377,SUCCESS,3d544d06a2ddc96ff510cbfda39f9f26da1eb9d3,25867.979,43399,0,305,2026-01-27
james,PR-2923,3.9.x,1,10706,1769549444,SUCCESS,eb3d0cb7e3a39330d4e933413d9792c83ec3abde,26887.336,43294,0,300,2026-01-27
james,PR-2925,master,1,11655,1769580985,SUCCESS,57d53c1b98c17253e4699c4f05674f4741c53073,27255.021,43401,0,305,2026-01-28
james,PR-2919,master,4,5761,1769605681,SUCCESS,c0167421a1287e5f47b29ae03cd3df99cfe383ef,27185.44,43401,0,305,2026-01-28
james,PR-2927,master,1,1442,1769718031,SUCCESS,a80213f451fa8bad0c7e624d54fca9f2ba7d9a8f,27184.033,43401,0,305,2026-01-29
james,PR-2928,master,6,1428,1770121339,SUCCESS,14af0b4c2413c9ece151c0a0f1ca84956b816926,27540.72,43532,0,305,2026-02-03
james,PR-2932,master,6,1418,1770171754,SUCCESS,9f0dcab2217c12397684678b29274bd066d43dc8,26214.043,43532,0,302,2026-02-03
james,PR-2931,master,2,4926,1770172054,SUCCESS,4a42fe077288afb576255eb400e5175042a41d82,27233.814,43530,0,306,2026-02-03
james,PR-2926,master,5,2253,1770263193,SUCCESS,3e8fc9b59bb412f32de0d709a692185a77d757f4,27855.021,43188,0,362,2026-02-04
james,PR-2933,master,4,1302,1770266236,SUCCESS,44b406e0bdd20fb12ddcb2c04a13dd4b7afb7058,26213.389,43532,0,302,2026-02-04
james,PR-2916,master,7,6828,1770277556,SUCCESS,e7a087c3b6c0113c5fb698664651e70826cc1448,26731.885,43532,0,302,2026-02-05
james,PR-2935,master,1,6611,1770369921,SUCCESS,275e9f1fb1b2356850ecc3aee5ad9c1da8f81008,29198.326,43194,0,356,2026-02-06
james,PR-2936,master,1,7077,1770410621,SUCCESS,c14d8c3660872e4bb0636f51786d99fe17158f6d,28487.75,43194,0,356,2026-02-06
james,PR-2938,master,1,6377,1770647138,SUCCESS,918168ee4a6ebe6c95985dde0e430f314cf53d36,28016.092,43194,0,356,2026-02-09
james,PR-2939,master,1,8062,1770677135,SUCCESS,c752bfa0e4da157caa1e0847774ce5e664b20b2d,29508.805,43196,0,356,2026-02-09
james,PR-2937,master,3,8936,1770711663,SUCCESS,622417f9754bdd55b80cc03b2d6b98792a9ca274,20677.445,43429,0,304,2026-02-10
james,PR-2942,master,1,6634,1770989791,SUCCESS,d407356ab15578dfdd6f22ed14286078a8aaa006,23399.963,43429,0,304,2026-02-13
james,PR-2941,master,3,6453,1770990207,SUCCESS,6b40021b9538e2a2589813e3597308679ed88a3b,23534.033,43429,0,304,2026-02-13
james,PR-2943,3.9.x,1,4060,1771350150,SUCCESS,3d7c1dc81c4bbce0bf254587a8799a8f278c306a,24355.1,43296,0,300,2026-02-17
james,PR-2944,master,1,17402,1771502289,SUCCESS,db45954f9dcdcfce20b2e715fe3e8d5b4b89e1cf,25160.824,43200,0,356,2026-02-19
james,PR-2945,master,1,6455,1771609088,SUCCESS,6845cdae49e42c90c793b66344bbb78abf52d054,23949.559,43430,0,304,2026-02-20
james,PR-2946,master,2,6636,1771622525,SUCCESS,02f9c1448e64438d798fae7a22e0a271c2201b3e,24002.137,43429,0,304,2026-02-20
james,PR-2949,master,1,11183,1771924121,SUCCESS,f302228dcb25569bf99c18cbc45f34c35fb4f0a6,28581.238,43201,0,356,2026-02-24
james,PR-2951,master,2,11052,1772030487,SUCCESS,b89ddc977095f1770924d5f6e70514286c6bfbd0,29184.102,43565,0,304,2026-02-25
james,PR-2950,master,3,16878,1772093223,SUCCESS,a172a00b84d9c6ed5f86bf539d6c924752de9630,26783.572,43424,0,304,2026-02-26
james,PR-2940,master,6,6724,1772133372,SUCCESS,bdd8de799ff44ca67e75907d37366bac2c44adb0,26306.404,43201,0,356,2026-02-26
james,PR-2952,master,3,9764,1772159600,SUCCESS,3eb10ca12e6f32db28edce871fc1cbefc671e3db,28475.154,43424,0,304,2026-02-26
james,PR-2953,master,1,1470,1772178701,SUCCESS,694a1a9ecc9cd87c6e6702f950f61619426c8a44,28481.936,43424,0,304,2026-02-27
james,PR-2954,master,2,6940,1772189475,SUCCESS,9c0510a6aa8f56c4f17b06d691c32595fdfcad2e,27055.68,43436,0,304,2026-02-27
james,PR-2955,master,1,8023,1772309803,SUCCESS,9b07a4d5f0a094c6db1fbb2c7348dffaba0e5b6f,27800.375,43428,0,304,2026-02-28
james,PR-2957,master,1,6805,1772447773,SUCCESS,abc5ae662b9682736a25ca90e1998e65c2b89313,27772.604,43374,0,304,2026-03-02
james,PR-2959,master,1,1312,1772464513,SUCCESS,41082654989bbe0f5fcc0c1d7c728f4cd7b24447,28922.834,43440,0,304,2026-03-02
james,PR-2958,master,3,6158,1772467183,SUCCESS,c75d85c49eb4ad4f46751ffa5559e60900d5951d,27712.336,43447,0,304,2026-03-02
james,PR-2960,master,1,848,1772563003,FAILURE,1803c09dcc3e5456fe3031503ec662f753b94a9f,13393.898,29174,46,210,2026-03-03
james,PR-2961,master,1,3068,1772632827,SUCCESS,8af241c147544413946e6e0190ae7e14449f7f5d,27913.848,43386,0,304,2026-03-04
james,PR-2962,master,1,1240,1772701447,SUCCESS,801491e071dde11c20a51dd1065f05db73c4cba7,27909.936,43386,0,304,2026-03-05
james,PR-2963,master,1,7800,1772703962,SUCCESS,12e954367a9da58d65e2bb1a470fb9981c86e1dc,28935.35,43386,0,304,2026-03-05
james,PR-2962,master,3,1189,1772704037,SUCCESS,6a5b475abe8151fa5674c96dce3fecedf3e5cc23,27911.305,43386,0,304,2026-03-05
james,PR-2964,master,1,36028,1772725293,ABORTED,89142aab8a36645fd8ba8b6303419197143a9001,16110.716,32501,13,227,2026-03-05
james,PR-2965,master,1,6749,1772729530,SUCCESS,d3d64bd383b759c55732cbc9f352643699c48bbf,28759.514,43386,0,304,2026-03-05
james,PR-2966,master,5,7170,1772746336,SUCCESS,c9e7e40671e0371f82caa38f29d737a4ebaae9b5,29048.736,43393,0,304,2026-03-05
james,PR-2964,master,2,7540,1772761322,SUCCESS,db284fbe99c11f2e1fa3892c863ae9f76f539abf,29135.693,43394,0,304,2026-03-05
james,PR-2963,master,2,8763,1772766915,SUCCESS,24342c10788ec08298e59a38d0cd31b16db0cd06,30302.365,43386,0,304,2026-03-05
